Date_dt,Province,No_Deaths
2020-02-06,Newfoundland and Labrador,0
2020-02-06,Northwest Territories,0
2020-02-06,Nova Scotia,0
2020-02-06,Nunavut,0
2020-02-06,Ontario,0
2020-02-06,Prince Edward Island,0
2020-02-06,Quebec,0
2020-02-06,Saskatchewan,0
2020-02-06,Yukon,0
2020-02-07,Alberta,0
2020-02-07,British Columbia,0
2020-02-07,Manitoba,0
2020-02-07,New Brunswick,0
2020-02-07,Newfoundland and Labrador,0
2020-02-07,Northwest Territories,0
2020-02-07,Nova Scotia,0
2020-02-07,Nunavut,0
2020-02-07,Ontario,0
2020-02-07,Prince Edward Island,0
2020-02-07,Quebec,0
2020-02-07,Saskatchewan,0
2020-02-07,Yukon,0
2020-02-08,Alberta,0
2020-02-08,British Columbia,0
2020-02-08,Manitoba,0
2020-02-08,New Brunswick,0
2020-02-08,Newfoundland and Labrador,0
2020-02-08,Northwest Territories,0
2020-02-08,Nova Scotia,0
2020-02-08,Nunavut,0
2020-02-08,Ontario,0
2020-02-08,Prince Edward Island,0
2020-02-08,Quebec,0
2020-02-08,Saskatchewan,0
2020-02-08,Yukon,0
2020-02-09,Alberta,0
2020-02-09,British Columbia,0
2020-02-09,Manitoba,0
2020-02-09,New Brunswick,0
2020-02-09,Newfoundland and Labrador,0
2020-02-09,Northwest Territories,0
2020-02-09,Nova Scotia,0
2020-02-09,Nunavut,0
2020-02-09,Ontario,0
2020-02-09,Prince Edward Island,0
2020-02-09,Quebec,0
2020-02-09,Saskatchewan,0
2020-02-09,Yukon,0
2020-02-10,Alberta,0
2020-02-10,British Columbia,0
2020-02-10,Manitoba,0
2020-02-10,New Brunswick,0
2020-02-10,Newfoundland and Labrador,0
2020-02-10,Northwest Territories,0
2020-02-10,Nova Scotia,0
2020-02-10,Nunavut,0
2020-02-10,Ontario,0
2020-02-10,Prince Edward Island,0
2020-02-10,Quebec,0
2020-02-10,Saskatchewan,0
2020-02-10,Yukon,0
2020-02-11,Alberta,0
2020-02-11,British Columbia,0
2020-02-11,Manitoba,0
2020-02-11,New Brunswick,0
2020-02-11,Newfoundland and Labrador,0
2020-02-11,Northwest Territories,0
2020-02-11,Nova Scotia,0
2020-02-11,Nunavut,0
2020-02-11,Ontario,0
2020-02-11,Prince Edward Island,0
2020-02-11,Quebec,0
2020-02-11,Saskatchewan,0
2020-02-11,Yukon,0
2020-02-12,Alberta,0
2020-02-12,British Columbia,0
2020-02-12,Manitoba,0
2020-02-12,New Brunswick,0
2020-02-12,Newfoundland and Labrador,0
2020-02-12,Northwest Territories,0
2020-02-12,Nova Scotia,0
2020-02-12,Nunavut,0
2020-02-12,Ontario,0
2020-02-12,Prince Edward Island,0
2020-02-12,Quebec,0
2020-02-12,Saskatchewan,0
2020-02-12,Yukon,0
2020-02-13,Alberta,0
2020-02-13,British Columbia,0
2020-02-13,Manitoba,0
2020-02-13,New Brunswick,0
2020-02-13,Newfoundland and Labrador,0
2020-02-13,Northwest Territories,0
2020-02-13,Nova Scotia,0
2020-02-13,Nunavut,0
2020-02-13,Ontario,0
2020-02-13,Prince Edward Island,0
2020-02-13,Quebec,0
2020-02-13,Saskatchewan,0
2020-02-13,Yukon,0
2020-02-14,Alberta,0
2020-02-14,British Columbia,0
2020-02-14,Manitoba,0
2020-02-14,New Brunswick,0
2020-02-14,Newfoundland and Labrador,0
2020-02-14,Northwest Territories,0
2020-02-14,Nova Scotia,0
2020-02-14,Nunavut,0
2020-02-14,Ontario,0
2020-02-14,Prince Edward Island,0
2020-02-14,Quebec,0
2020-02-14,Saskatchewan,0
2020-02-14,Yukon,0
2020-02-15,Alberta,0
2020-02-15,British Columbia,0
2020-02-15,Manitoba,0
2020-02-15,New Brunswick,0
2020-02-15,Newfoundland and Labrador,0
2020-02-15,Northwest Territories,0
2020-02-15,Nova Scotia,0
2020-02-15,Nunavut,0
2020-02-15,Ontario,0
2020-02-15,Prince Edward Island,0
2020-02-15,Quebec,0
2020-02-15,Saskatchewan,0
2020-02-15,Yukon,0
2020-02-16,Alberta,0
2020-02-16,British Columbia,0
2020-02-16,Manitoba,0
2020-02-16,New Brunswick,0
2020-02-16,Newfoundland and Labrador,0
2020-02-16,Northwest Territories,0
2020-02-16,Nova Scotia,0
2020-02-16,Nunavut,0
2020-02-16,Ontario,0
2020-02-16,Prince Edward Island,0
2020-02-16,Quebec,0
2020-02-16,Saskatchewan,0
2020-02-16,Yukon,0
2020-02-17,Alberta,0
2020-02-17,British Columbia,0
2020-02-17,Manitoba,0
2020-02-17,New Brunswick,0
2020-02-17,Newfoundland and Labrador,0
2020-02-17,Northwest Territories,0
2020-02-17,Nova Scotia,0
2020-02-17,Nunavut,0
2020-02-17,Ontario,0
2020-02-17,Prince Edward Island,0
2020-02-17,Quebec,0
2020-02-17,Saskatchewan,0
2020-02-17,Yukon,0
2020-02-18,Alberta,0
2020-02-18,British Columbia,0
2020-02-18,Manitoba,0
2020-02-18,New Brunswick,0
2020-02-18,Newfoundland and Labrador,0
2020-02-18,Northwest Territories,0
2020-02-18,Nova Scotia,0
2020-02-18,Nunavut,0
2020-02-18,Ontario,0
2020-02-18,Prince Edward Island,0
2020-02-18,Quebec,0
2020-02-18,Saskatchewan,0
2020-02-18,Yukon,0
2020-02-19,Alberta,0
2020-02-19,British Columbia,0
2020-02-19,Manitoba,0
2020-02-19,New Brunswick,0
2020-02-19,Newfoundland and Labrador,0
2020-02-19,Northwest Territories,0
2020-02-19,Nova Scotia,0
2020-02-19,Nunavut,0
2020-02-19,Ontario,0
2020-02-19,Prince Edward Island,0
2020-02-19,Quebec,0
2020-02-19,Saskatchewan,0
2020-02-19,Yukon,0
2020-02-20,Alberta,0
2020-02-20,British Columbia,0
2020-02-20,Manitoba,0
2020-02-20,New Brunswick,0
2020-02-20,Newfoundland and Labrador,0
2020-02-20,Northwest Territories,0
2020-02-20,Nova Scotia,0
2020-02-20,Nunavut,0
2020-02-20,Ontario,0
2020-02-20,Prince Edward Island,0
2020-02-20,Quebec,0
2020-02-20,Saskatchewan,0
2020-02-20,Yukon,0
2020-02-21,Alberta,0
2020-02-21,British Columbia,0
2020-02-21,Manitoba,0
2020-02-21,New Brunswick,0
2020-02-21,Newfoundland and Labrador,0
2020-02-21,Northwest Territories,0
2020-02-21,Nova Scotia,0
2020-02-21,Nunavut,0
2020-02-21,Ontario,0
2020-02-21,Prince Edward Island,0
2020-02-21,Quebec,0
2020-02-21,Saskatchewan,0
2020-02-21,Yukon,0
2020-02-22,Alberta,0
2020-02-22,British Columbia,0
2020-02-22,Manitoba,0
2020-02-22,New Brunswick,0
2020-02-22,Newfoundland and Labrador,0
2020-02-22,Northwest Territories,0
2020-02-22,Nova Scotia,0
2020-02-22,Nunavut,0
2020-02-22,Ontario,0
2020-02-22,Prince Edward Island,0
2020-02-22,Quebec,0
2020-02-22,Saskatchewan,0
2020-02-22,Yukon,0
2020-02-23,Alberta,0
2020-02-23,British Columbia,0
2020-02-23,Manitoba,0
2020-02-23,New Brunswick,0
2020-02-23,Newfoundland and Labrador,0
2020-02-23,Northwest Territories,0
2020-02-23,Nova Scotia,0
2020-02-23,Nunavut,0
2020-02-23,Ontario,0
2020-02-23,Prince Edward Island,0
2020-02-23,Quebec,0
2020-02-23,Saskatchewan,0
2020-02-23,Yukon,0
2020-02-24,Alberta,0
2020-02-24,British Columbia,0
2020-02-24,Manitoba,0
2020-02-24,New Brunswick,0
2020-02-24,Newfoundland and Labrador,0
2020-02-24,Northwest Territories,0
2020-02-24,Nova Scotia,0
2020-02-24,Nunavut,0
2020-02-24,Ontario,0
2020-02-24,Prince Edward Island,0
2020-02-24,Quebec,0
2020-02-24,Saskatchewan,0
2020-02-24,Yukon,0
2020-02-25,Alberta,0
2020-02-25,British Columbia,0
2020-02-25,Manitoba,0
2020-02-25,New Brunswick,0
2020-02-25,Newfoundland and Labrador,0
2020-02-25,Northwest Territories,0
2020-02-25,Nova Scotia,0
2020-02-25,Nunavut,0
2020-02-25,Ontario,0
2020-02-25,Prince Edward Island,0
2020-02-25,Quebec,0
2020-02-25,Saskatchewan,0
2020-02-25,Yukon,0
2020-02-26,Alberta,0
2020-02-26,British Columbia,0
2020-02-26,Manitoba,0
2020-02-26,New Brunswick,0
2020-02-26,Newfoundland and Labrador,0
2020-02-26,Northwest Territories,0
2020-02-26,Nova Scotia,0
2020-02-26,Nunavut,0
2020-02-26,Ontario,0
2020-02-26,Prince Edward Island,0
2020-02-26,Quebec,0
2020-02-26,Saskatchewan,0
2020-02-26,Yukon,0
2020-02-27,Alberta,0
2020-02-27,British Columbia,0
2020-02-27,Manitoba,0
2020-02-27,New Brunswick,0
2020-02-27,Newfoundland and Labrador,0
2020-02-27,Northwest Territories,0
2020-02-27,Nova Scotia,0
2020-02-27,Nunavut,0
2020-02-27,Ontario,0
2020-02-27,Prince Edward Island,0
2020-02-27,Quebec,0
2020-02-27,Saskatchewan,0
2020-02-27,Yukon,0
2020-02-28,Alberta,0
2020-02-28,British Columbia,0
2020-02-28,Manitoba,0
2020-02-28,New Brunswick,0
2020-02-28,Newfoundland and Labrador,0
2020-02-28,Northwest Territories,0
2020-02-28,Nova Scotia,0
2020-02-28,Nunavut,0
2020-02-28,Ontario,0
2020-02-28,Prince Edward Island,0
2020-02-28,Quebec,0
2020-02-28,Saskatchewan,0
2020-02-28,Yukon,0
2020-02-29,Alberta,0
2020-02-29,British Columbia,0
2020-02-29,Manitoba,0
2020-02-29,New Brunswick,0
2020-02-29,Newfoundland and Labrador,0
2020-02-29,Northwest Territories,0
2020-02-29,Nova Scotia,0
2020-02-29,Nunavut,0
2020-02-29,Ontario,0
2020-02-29,Prince Edward Island,0
2020-02-29,Quebec,0
2020-02-29,Saskatchewan,0
2020-02-29,Yukon,0
2020-03-01,Alberta,0
2020-03-01,British Columbia,0
2020-03-01,Manitoba,0
2020-03-01,New Brunswick,0
2020-03-01,Newfoundland and Labrador,0
2020-03-01,Northwest Territories,0
2020-03-01,Nova Scotia,0
2020-03-01,Nunavut,0
2020-03-01,Ontario,0
2020-03-01,Prince Edward Island,0
2020-03-01,Quebec,0
2020-03-01,Saskatchewan,0
2020-03-01,Yukon,0
2020-03-02,Alberta,0
2020-03-02,British Columbia,0
2020-03-02,Manitoba,0
2020-03-02,New Brunswick,0
2020-03-02,Newfoundland and Labrador,0
2020-03-02,Northwest Territories,0
2020-03-02,Nova Scotia,0
2020-03-02,Nunavut,0
2020-03-02,Ontario,0
2020-03-02,Prince Edward Island,0
2020-03-02,Quebec,0
2020-03-02,Saskatchewan,0
2020-03-02,Yukon,0
2020-03-03,Alberta,0
2020-03-03,British Columbia,0
2020-03-03,Manitoba,0
2020-03-03,New Brunswick,0
2020-03-03,Newfoundland and Labrador,0
2020-03-03,Northwest Territories,0
2020-03-03,Nova Scotia,0
2020-03-03,Nunavut,0
2020-03-03,Ontario,0
2020-03-03,Prince Edward Island,0
2020-03-03,Quebec,0
2020-03-03,Saskatchewan,0
2020-03-03,Yukon,0
2020-03-04,Alberta,0
2020-03-04,British Columbia,0
2020-03-04,Manitoba,0
2020-03-04,New Brunswick,0
2020-03-04,Newfoundland and Labrador,0
2020-03-04,Northwest Territories,0
2020-03-04,Nova Scotia,0
2020-03-04,Nunavut,0
2020-03-04,Ontario,0
2020-03-04,Prince Edward Island,0
2020-03-04,Quebec,0
2020-03-04,Saskatchewan,0
2020-03-04,Yukon,0
2020-03-05,Alberta,0
2020-03-05,British Columbia,0
2020-03-05,Manitoba,0
2020-03-05,New Brunswick,0
2020-03-05,Newfoundland and Labrador,0
2020-03-05,Northwest Territories,0
2020-03-05,Nova Scotia,0
2020-03-05,Nunavut,0
2020-03-05,Ontario,0
2020-03-05,Prince Edward Island,0
2020-03-05,Quebec,0
2020-03-05,Saskatchewan,0
2020-03-05,Yukon,0
2020-03-06,Alberta,0
2020-03-06,British Columbia,0
2020-03-06,Manitoba,0
2020-03-06,New Brunswick,0
2020-03-06,Newfoundland and Labrador,0
2020-03-06,Northwest Territories,0
2020-03-06,Nova Scotia,0
2020-03-06,Nunavut,0
2020-03-06,Ontario,0
2020-03-06,Prince Edward Island,0
2020-03-06,Quebec,0
2020-03-06,Saskatchewan,0
2020-03-06,Yukon,0
2020-03-07,Alberta,0
2020-03-07,British Columbia,0
2020-03-07,Manitoba,0
2020-03-07,New Brunswick,0
2020-03-07,Newfoundland and Labrador,0
2020-03-07,Northwest Territories,0
2020-03-07,Nova Scotia,0
2020-03-07,Nunavut,0
2020-03-07,Ontario,0
2020-03-07,Prince Edward Island,0
2020-03-07,Quebec,0
2020-03-07,Saskatchewan,0
2020-03-07,Yukon,0
2020-03-08,Alberta,0
2020-03-08,British Columbia,0
2020-03-08,Manitoba,0
2020-03-08,New Brunswick,0
2020-03-08,Newfoundland and Labrador,0
2020-03-08,Northwest Territories,0
2020-03-08,Nova Scotia,0
2020-03-08,Nunavut,0
2020-03-08,Ontario,0
2020-03-08,Prince Edward Island,0
2020-03-08,Quebec,0
2020-03-08,Saskatchewan,0
2020-03-08,Yukon,0
2020-03-09,Alberta,0
2020-03-09,British Columbia,1
2020-03-09,Manitoba,0
2020-03-09,New Brunswick,0
2020-03-09,Newfoundland and Labrador,0
2020-03-09,Northwest Territories,0
2020-03-09,Nova Scotia,0
2020-03-09,Nunavut,0
2020-03-09,Ontario,0
2020-03-09,Prince Edward Island,0
2020-03-09,Quebec,0
2020-03-09,Saskatchewan,0
2020-03-09,Yukon,0
2020-03-10,Alberta,0
2020-03-10,British Columbia,1
2020-03-10,Manitoba,0
2020-03-10,New Brunswick,0
2020-03-10,Newfoundland and Labrador,0
2020-03-10,Northwest Territories,0
2020-03-10,Nova Scotia,0
2020-03-10,Nunavut,0
2020-03-10,Ontario,0
2020-03-10,Prince Edward Island,0
2020-03-10,Quebec,0
2020-03-10,Saskatchewan,0
2020-03-10,Yukon,0
2020-03-11,Alberta,0
2020-03-11,British Columbia,1
2020-03-11,Manitoba,0
2020-03-11,New Brunswick,0
2020-03-11,Newfoundland and Labrador,0
2020-03-11,Northwest Territories,0
2020-03-11,Nova Scotia,0
2020-03-11,Nunavut,0
2020-03-11,Ontario,0
2020-03-11,Prince Edward Island,0
2020-03-11,Quebec,0
2020-03-11,Saskatchewan,0
2020-03-11,Yukon,0
2020-03-12,Alberta,0
2020-03-12,British Columbia,1
2020-03-12,Manitoba,0
2020-03-12,New Brunswick,0
2020-03-12,Newfoundland and Labrador,0
2020-03-12,Northwest Territories,0
2020-03-12,Nova Scotia,0
2020-03-12,Nunavut,0
2020-03-12,Ontario,0
2020-03-12,Prince Edward Island,0
2020-03-12,Quebec,0
2020-03-12,Saskatchewan,0
2020-03-12,Yukon,0
2020-03-13,Alberta,0
2020-03-13,British Columbia,1
2020-03-13,Manitoba,0
2020-03-13,New Brunswick,0
2020-03-13,Newfoundland and Labrador,0
2020-03-13,Northwest Territories,0
2020-03-13,Nova Scotia,0
2020-03-13,Nunavut,0
2020-03-13,Ontario,0
2020-03-13,Prince Edward Island,0
2020-03-13,Quebec,0
2020-03-13,Saskatchewan,0
2020-03-13,Yukon,0
2020-03-14,Alberta,0
2020-03-14,British Columbia,1
2020-03-14,Manitoba,0
2020-03-14,New Brunswick,0
2020-03-14,Newfoundland and Labrador,0
2020-03-14,Northwest Territories,0
2020-03-14,Nova Scotia,0
2020-03-14,Nunavut,0
2020-03-14,Ontario,0
2020-03-14,Prince Edward Island,0
2020-03-14,Quebec,0
2020-03-14,Saskatchewan,0
2020-03-14,Yukon,0
2020-03-15,Alberta,0
2020-03-15,British Columbia,1
2020-03-15,Manitoba,0
2020-03-15,New Brunswick,0
2020-03-15,Newfoundland and Labrador,0
2020-03-15,Northwest Territories,0
2020-03-15,Nova Scotia,0
2020-03-15,Nunavut,0
2020-03-15,Ontario,0
2020-03-15,Prince Edward Island,0
2020-03-15,Quebec,0
2020-03-15,Saskatchewan,0
2020-03-15,Yukon,0
2020-03-16,Alberta,0
2020-03-16,British Columbia,4
2020-03-16,Manitoba,0
2020-03-16,New Brunswick,0
2020-03-16,Newfoundland and Labrador,0
2020-03-16,Northwest Territories,0
2020-03-16,Nova Scotia,0
2020-03-16,Nunavut,0
2020-03-16,Ontario,0
2020-03-16,Prince Edward Island,0
2020-03-16,Quebec,0
2020-03-16,Saskatchewan,0
2020-03-16,Yukon,0
2020-03-17,Alberta,0
2020-03-17,British Columbia,4
2020-03-17,Manitoba,0
2020-03-17,New Brunswick,0
2020-03-17,Newfoundland and Labrador,0
2020-03-17,Northwest Territories,0
2020-03-17,Nova Scotia,0
2020-03-17,Nunavut,0
2020-03-17,Ontario,1
2020-03-17,Prince Edward Island,0
2020-03-17,Quebec,1
2020-03-17,Saskatchewan,0
2020-03-17,Yukon,0
2020-03-18,Alberta,0
2020-03-18,British Columbia,7
2020-03-18,Manitoba,0
2020-03-18,New Brunswick,0
2020-03-18,Newfoundland and Labrador,0
2020-03-18,Northwest Territories,0
2020-03-18,Nova Scotia,0
2020-03-18,Nunavut,0
2020-03-18,Ontario,1
2020-03-18,Prince Edward Island,0
2020-03-18,Quebec,3
2020-03-18,Saskatchewan,0
2020-03-18,Yukon,0
2020-03-19,Alberta,0
2020-03-19,British Columbia,7
2020-03-19,Manitoba,0
2020-03-19,New Brunswick,0
2020-03-19,Newfoundland and Labrador,0
2020-03-19,Northwest Territories,0
2020-03-19,Nova Scotia,0
2020-03-19,Nunavut,0
2020-03-19,Ontario,1
2020-03-19,Prince Edward Island,0
2020-03-19,Quebec,3
2020-03-19,Saskatchewan,0
2020-03-19,Yukon,0
2020-03-20,Alberta,1
2020-03-20,British Columbia,8
2020-03-20,Manitoba,0
2020-03-20,New Brunswick,0
2020-03-20,Newfoundland and Labrador,0
2020-03-20,Northwest Territories,0
2020-03-20,Nova Scotia,0
2020-03-20,Nunavut,0
2020-03-20,Ontario,2
2020-03-20,Prince Edward Island,0
2020-03-20,Quebec,4
2020-03-20,Saskatchewan,0
2020-03-20,Yukon,0
2020-03-21,Alberta,1
2020-03-21,British Columbia,10
2020-03-21,Manitoba,0
2020-03-21,New Brunswick,0
2020-03-21,Newfoundland and Labrador,0
2020-03-21,Northwest Territories,0
2020-03-21,Nova Scotia,0
2020-03-21,Nunavut,0
2020-03-21,Ontario,3
2020-03-21,Prince Edward Island,0
2020-03-21,Quebec,5
2020-03-21,Saskatchewan,0
2020-03-21,Yukon,0
2020-03-22,Alberta,1
2020-03-22,British Columbia,10
2020-03-22,Manitoba,0
2020-03-22,New Brunswick,0
2020-03-22,Newfoundland and Labrador,0
2020-03-22,Northwest Territories,0
2020-03-22,Nova Scotia,0
2020-03-22,Nunavut,0
2020-03-22,Ontario,5
2020-03-22,Prince Edward Island,0
2020-03-22,Quebec,5
2020-03-22,Saskatchewan,0
2020-03-22,Yukon,0
2020-03-23,Alberta,1
2020-03-23,British Columbia,13
2020-03-23,Manitoba,0
2020-03-23,New Brunswick,0
2020-03-23,Newfoundland and Labrador,0
2020-03-23,Northwest Territories,0
2020-03-23,Nova Scotia,0
2020-03-23,Nunavut,0
2020-03-23,Ontario,6
2020-03-23,Prince Edward Island,0
2020-03-23,Quebec,8
2020-03-23,Saskatchewan,0
2020-03-23,Yukon,0
2020-03-24,Alberta,1
2020-03-24,British Columbia,13
2020-03-24,Manitoba,0
2020-03-24,New Brunswick,0
2020-03-24,Newfoundland and Labrador,0
2020-03-24,Northwest Territories,0
2020-03-24,Nova Scotia,0
2020-03-24,Nunavut,0
2020-03-24,Ontario,7
2020-03-24,Prince Edward Island,0
2020-03-24,Quebec,11
2020-03-24,Saskatchewan,0
2020-03-24,Yukon,0
2020-03-25,Alberta,2
2020-03-25,British Columbia,13
2020-03-25,Manitoba,0
2020-03-25,New Brunswick,0
2020-03-25,Newfoundland and Labrador,0
2020-03-25,Northwest Territories,0
2020-03-25,Nova Scotia,0
2020-03-25,Nunavut,0
2020-03-25,Ontario,8
2020-03-25,Prince Edward Island,0
2020-03-25,Quebec,18
2020-03-25,Saskatchewan,0
2020-03-25,Yukon,0
2020-03-26,Alberta,2
2020-03-26,British Columbia,14
2020-03-26,Manitoba,0
2020-03-26,New Brunswick,0
2020-03-26,Newfoundland and Labrador,0
2020-03-26,Northwest Territories,0
2020-03-26,Nova Scotia,0
2020-03-26,Nunavut,0
2020-03-26,Ontario,13
2020-03-26,Prince Edward Island,0
2020-03-26,Quebec,27
2020-03-26,Saskatchewan,0
2020-03-26,Yukon,0
2020-03-27,Alberta,2
2020-03-27,British Columbia,14
2020-03-27,Manitoba,1
2020-03-27,New Brunswick,0
2020-03-27,Newfoundland and Labrador,0
2020-03-27,Northwest Territories,0
2020-03-27,Nova Scotia,0
2020-03-27,Nunavut,0
2020-03-27,Ontario,18
2020-03-27,Prince Edward Island,0
2020-03-27,Quebec,30
2020-03-27,Saskatchewan,0
2020-03-27,Yukon,0
2020-03-28,Alberta,2
2020-03-28,British Columbia,17
2020-03-28,Manitoba,1
2020-03-28,New Brunswick,0
2020-03-28,Newfoundland and Labrador,0
2020-03-28,Northwest Territories,0
2020-03-28,Nova Scotia,0
2020-03-28,Nunavut,0
2020-03-28,Ontario,18
2020-03-28,Prince Edward Island,0
2020-03-28,Quebec,43
2020-03-28,Saskatchewan,0
2020-03-28,Yukon,0
2020-03-29,Alberta,2
2020-03-29,British Columbia,17
2020-03-29,Manitoba,1
2020-03-29,New Brunswick,0
2020-03-29,Newfoundland and Labrador,0
2020-03-29,Northwest Territories,0
